Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
CIRCOLO ACLI SETTALA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BOTTANI,GIUSEPPE,I,MI,SETTALA,PIAZZA VITTORIO VENETO,APS,"PIAZZA VITTORIO VENETO,SETTALA,MI,I",45.45583948039959,9.392182739665413
CIRCOLO ACLI S. EUFEMIA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FRANCHINI,ANDREA,I,BS,BRESCIA,VIA INDIPENDENZA,APS,"VIA INDIPENDENZA,BRESCIA,BS,I",45.522594857665915,10.270026994691852
CIRCOLO ACLI SEVESO CENTRO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALIMBERTI,LUIGIA GIUSEPPINA,I,MB,SEVESO,VIA ARESE,APS,"VIA ARESE,SEVESO,MB,I",45.64394271152257,9.138288696720574
CIRCOLO ACLI  SEZ. PADRE IGNAZIO DA ISPRA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DAL BON,GIAMPIERO,I,VA,ISPRA,VIA MADONNINA DEL GRAPPA,APS,"VIA MADONNINA DEL GRAPPA,ISPRA,VA,I",45.81551965930135,8.61101151060222
CIRCOLO ACLI S.GIACOMO PO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERNINI,MICHELE,I,MN,BAGNOLO SAN VITO,VIA PRIORE FRAZ. SAN GIACOMO PO,APS,"VIA PRIORE FRAZ. SAN GIACOMO PO,BAGNOLO SAN VITO,MN,I",45.0686322564237,10.873554713778683
CIRCOLO ACLI S. GIUSEPPE LAVORATORE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BARZETTI,ALBERTO,I,MI,CINISELLO BALSAMO,VIA CILEA,APS,"VIA CILEA,CINISELLO BALSAMO,MI,I",45.570482745133965,9.213404000920393
CIRCOLO ACLI S. LUIGI DI SOLBIATE OLONA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BIANCHI,ANTONIO,I,VA,SOLBIATE OLONA,VIA XXV APRILE,APS,"VIA XXV APRILE,SOLBIATE OLONA,VA,I",45.651194191257055,8.882592266167187
CIRCOLO ACLI SOMANA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GADDI,CARMEN,I,LC,MANDELLO DEL LARIO,PIAZZA MONS. CLEMENTE GADDI,APS,"PIAZZA MONS. CLEMENTE GADDI,MANDELLO DEL LARIO,LC,I",45.92986588849262,9.323879323352717
CIRCOLO ACLI S.PROTASO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GARUTI,GIOVANNI,I,MI,MILANO,VIA OSOPPO,APS,"VIA OSOPPO,MILANO,MI,I",45.468943360023964,9.142980745109776
CIRCOLO ACLI STEZZANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERTONCELLO,STEFANO,I,BG,STEZZANO,VIA CARRARA BEROA,APS,"VIA CARRARA BEROA,STEZZANO,BG,I",45.65024248613234,9.65350491316277
CIRCOLO ACLI STOCCHETTA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELVISI,CRISTINA,I,BS,BRESCIA,VIA PASSO DEL BRENNERO,APS,"VIA PASSO DEL BRENNERO,BRESCIA,BS,I",45.5857057341773,10.227262811424984
CIRCOLO ACLI SUISIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GHISLENI,MARCELLO,I,BG,SUISIO,VIA BREDE,APS,"VIA BREDE,SUISIO,BG,I",45.65522546732344,9.500300927486936
CIRCOLO ACLI S. VITTORE DI CURIGLIA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PITTURITO,SILVIO,I,VA,CURIGLIA CON MONTEVIASCO,VIA ISTITUTO,APS,"VIA ISTITUTO,CURIGLIA CON MONTEVIASCO,VA,I",46.060399777838086,8.803954707847153
CIRCOLO ACLI TALAMONA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CERRI,ANDREA,I,SO,TALAMONA,VIA GAVAZZENI,APS,"VIA GAVAZZENI,TALAMONA,SO,I",46.13707549280525,9.612502112082145
CIRCOLO ACLI TAVORDO APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAPELLI,GIORGIO,I,CO,PORLEZZA,VIA PORLEZZA TAVORDO,APS,"VIA PORLEZZA TAVORDO,PORLEZZA,CO,I",46.0401844412597,9.134194597553687
CIRCOLO ACLI TRAVAGLIATO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BUIZZA,PIERANNA,I,BS,TRAVAGLIATO,VIA ROMA,APS,"VIA ROMA,TRAVAGLIATO,BS,I",45.52512406171669,10.078807881414676
CIRCOLO A.C.L.I. TRECELLA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CATERINA,AURELIO,I,MI,POZZUOLO MARTESANA,VIA RESTA PALLAVICINI,APS,"VIA RESTA PALLAVICINI,POZZUOLO MARTESANA,MI,I",45.51415777162728,9.480025685141744
CIRCOLO ACLI TREZZANO ROSA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RIVA,LUIGI,I,MI,TREZZANO ROSA,PIAZZA SAN GOTTARDO,APS,"PIAZZA SAN GOTTARDO,TREZZANO ROSA,MI,I",45.58273398578828,9.487347757257735
CIRCOLO ACLI TREZZO SULL'ADDA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GASPANI,GIUSEPPE,I,MI,TREZZO SULL'ADDA,VIA TORRE,APS,"VIA TORRE,TREZZO SULL'ADDA,MI,I",45.608161867842306,9.519938537631493
CIRCOLO ACLI TURRO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LUNARDON,FABIO,I,MI,MILANO,PIAZZA ANELLI,APS,"PIAZZA ANELLI,MILANO,MI,I",45.49795273248942,9.223360046382695
CIRCOLO ACLI UL CAMINON DI GARABIOLO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DAL LAGO,DANIELE,I,VA,MACCAGNO CON PINO E VEDDASCA,PIAZZA SAN CARLO,APS,"PIAZZA SAN CARLO,MACCAGNO CON PINO E VEDDASCA,VA,I",46.04532478697785,8.741960046524593
CIRCOLO ACLI VAREDO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RIVA,RAFFAELE,I,MB,VAREDO,VIA VERDI,APS,"VIA VERDI,VAREDO,MB,I",45.598279513746114,9.154356529247673
CIRCOLO ACLI VEROLANUOVA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BOTTA,ANTONIO,I,BS,VEROLANUOVA,VIA DANTE,APS,"VIA DANTE,VEROLANUOVA,BS,I",45.32449784342006,10.078186631921344
CIRCOLO ACLI VERTEMATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MINOTTI,MAURO,I,CO,VERTEMATE CON MINOPRIO,VIA DON E.CATTANEO,APS,"VIA DON E.CATTANEO,VERTEMATE CON MINOPRIO,CO,I",45.721316311417425,9.080087001984701
CIRCOLO ACLI VIA CORSICA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DELLA TORRE,NICOLA,I,BS,BRESCIA,VIA CORSICA,APS,"VIA CORSICA,BRESCIA,BS,I",45.522458220808105,10.19546527894368
CIRCOLO ACLI VILLAGGIO BADIA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DIONI,STEFANO,I,BS,BRESCIA,VIA PRIMA VILL.BADIA,APS,"VIA PRIMA VILL.BADIA,BRESCIA,BS,I",45.549313251537185,10.160826045635169
CIRCOLO ACLI VILLANUOVA SUL CLISI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COMINCIOLI,ERMANNO,I,BS,VILLANUOVA SUL CLISI,VIA BIANCHI,APS,"VIA BIANCHI,VILLANUOVA SUL CLISI,BS,I",45.60330319730247,10.456798894435476
CIRCOLO ACLI VILLA VERGANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FERRARI,DANIELE,I,LC,GALBIATE,VIA DON BESESTI,APS,"VIA DON BESESTI,GALBIATE,LC,I",45.791758853244765,9.373233453824401
CIRCOLO A.C.L.I VIMERCATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,OLDRATI,LINO,I,MB,VIMERCATE,VIA MAZZINI,APS,"VIA MAZZINI,VIMERCATE,MB,I",45.617438443197145,9.3711211129296
CIRCOLO ACLI VIMODRONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARCHESI,MARIA RITA,I,MI,VIMODRONE,VIA SAN REMIGIO,APS,"VIA SAN REMIGIO,VIMODRONE,MI,I",45.51395562968607,9.28467936554396
CIRCOLO ACLI VINCENZO TOSSI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TOSSI,GIULIANA ROSARIA,I,MI,PESCHIERA BORROMEO,VIA MATTEOTTI,APS,"VIA MATTEOTTI,PESCHIERA BORROMEO,MI,I",45.42907719568525,9.308547503715483
CIRCOLO ACLI VIRGILIO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PIETRINI,GIULIANO,I,MN,BORGO VIRGILIO,VIA CISA CERESE,APS,"VIA CISA CERESE,BORGO VIRGILIO,MN,I",45.11680642912629,10.784323876483073
CIRCOLO ACLI VISANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FEDERZONI,MODESTO,I,BS,VISANO,VIA MATTEOTTI,APS,"VIA MATTEOTTI,VISANO,BS,I",45.31795169030184,10.366312728767507
CIRCOLO ACLI VITTORIO BASSI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GRAZZI,FRANCESCO GIOVANNI ROBERT,I,MI,CINISELLO BALSAMO,VIA VERDI,APS,"VIA VERDI,CINISELLO BALSAMO,MI,I",45.550401197650594,9.224494982718658
CIRCOLO ACLI V. LODA VILLAGGIO PREALPINO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,AGNESI,GIANLUIGI,I,BS,BRESCIA,VIA TRAV. X VILL. PREALPINO,APS,"VIA TRAV. X VILL. PREALPINO,BRESCIA,BS,I",45.5821237,10.2321109
CIRCOLO ALEXANDER A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAFFEIS,ALESSANDRO,I,BS,LONATO DEL GARDA,VIA S. POLO,APS,"VIA S. POLO,LONATO DEL GARDA,BS,I",45.43766166327673,10.485947977500205
CIRCOLO AMICI DI FREROLA DEL M.C.L. A.P.S. - E.T.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MICHELI,MICHELE,I,BG,ALGUA,FREROLA,APS,"FREROLA,ALGUA,BG,I",45.8430866,9.7235415
CIRCOLO ANSPI CARAVELLA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GAUDENZI,CRISTIAN,I,BS,BRESCIA,VIA S. POLO,APS,"VIA S. POLO,BRESCIA,BS,I",45.50869839380417,10.253993232805895
CIRCOLO ANSPI CASA DEL GIOVANE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CHIEREGATTI,SERGIO,I,MN,SERMIDE E FELONICA,VIA N.SAURO,APS,"VIA N.SAURO,SERMIDE E FELONICA,MN,I",45.0044045364765,11.300232425588057
CIRCOLO ANSPI GIOVANNI PAOLO MAGGINI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SCHINOCCA,CETTI MARIA,I,BS,BOTTICINO,VIA DON ORIONE,APS,"VIA DON ORIONE,BOTTICINO,BS,I",45.541072208988815,10.304718661410694
CIRCOLO ANSPI LESIMA - APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RECALCATI,CARLO,I,PV,BRALLO DI PREGOLA,FRAZIONE CORBESASSI,APS,"FRAZIONE CORBESASSI,BRALLO DI PREGOLA,PV,I",44.710902903634796,9.274594698423936
CIRCOLO ANSPI ORATORIOS.GIOVANNI BOSCO,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SONCINA,ROBERTO,I,BS,CASTENEDOLO,VIA M.PASUBIO,APS,"VIA M.PASUBIO,CASTENEDOLO,BS,I",45.47181237810529,10.267755689758763
CIRCOLO ANSPI PARROCCHIA SAN MARTINO,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MINELLI,PIETRO,I,BS,GARDONE VAL TROMPIA,VIA SAN MARTINO,APS,"VIA SAN MARTINO,GARDONE VAL TROMPIA,BS,I",45.70714272740307,10.19548464262345
Circolo ANSPI Pro Loco ANSPI - APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PAVESE,ATTILIO,I,PV,ROBECCO PAVESE,PIAZZA A. SETTI,APS,"PIAZZA A. SETTI,ROBECCO PAVESE,PV,I",45.04862109913366,9.149127462267463
CIRCOLO ANSPI SAN LORENZO-G.S. ALONE ANSPI  APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PELLEGRINI,VITTORINO,I,BS,CASTO,VIA FRAZIONE ALONE,APS,"VIA FRAZIONE ALONE,CASTO,BS,I",45.69104934948009,10.301624917911196
CIRCOLO ANZIANI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BETTONI,ENRICA,I,MN,CANNETO SULL'OGLIO,VIA CAVOUR,APS,"VIA CAVOUR,CANNETO SULL'OGLIO,MN,I",45.151065623926364,10.378324175489588
CIRCOLO ANZIANI DI SAGNINO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ANGIOLILLO,MAURIZIO,I,CO,COMO,VIA PASCOLI,APS,"VIA PASCOLI,COMO,CO,I",45.83495259261791,9.043008938392866
CIRCOLO ARCI 25 APRILE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SARZI BRAGA,TIZIANA,I,MN,SUZZARA,VIA DALMAZIO CARETTA,APS,"VIA DALMAZIO CARETTA,SUZZARA,MN,I",45.027214817528005,10.715439201545232
CIRCOLO ARCI ABBADIA LARIANA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ORIGONI,ANDREA DAMIANO,I,LC,ABBADIA LARIANA,VIA ALLA QUADRA,APS,"VIA ALLA QUADRA,ABBADIA LARIANA,LC,I",45.898856197147076,9.333031693917892
CIRCOLO ARCI ALFREDO GROSSONI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLIA,CRISTIAN,I,MI,MILANO,VIA ASSIETTA,APS,"VIA ASSIETTA,MILANO,MI,I",45.517651958208674,9.161001399402467
CIRCOLO ARCI AL PARCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TURRIN,MASSIMO,I,MN,CASTELLUCCHIO,VIA ROMA,APS,"VIA ROMA,CASTELLUCCHIO,MN,I",45.11371421192398,10.672795190389113
CIRCOLO ARCI ANGELO FIOCCHI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ARRESTA,VINCENZO,I,MI,MILANO,VIALE LOMBARDIA,APS,"VIALE LOMBARDIA,MILANO,MI,I",45.48559175785362,9.223581593117032
CIRCOLO ARCI BELLAGUARDA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERTONI,KATIA,I,MN,VIADANA,VIA ARGINE CERIANA,APS,"VIA ARGINE CERIANA,VIADANA,MN,I",45.00324531724179,10.597807960350439
CIRCOLO ARCI BIKO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ABBAI,ALEM,I,MI,MILANO,VIA E. PONTI,APS,"VIA E. PONTI,MILANO,MI,I",45.441874974429304,9.15342753390037
CIRCOLO ARCI BIRILLISTICA MARMIROLESE ASD APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FONTANA,STEFANO,I,MN,MARMIROLO,VIA G. DI VITTORIO,APS,"VIA G. DI VITTORIO,MARMIROLO,MN,I",45.208050366886575,10.764356973097758
CIRCOLO ARCI BOLOGNA DI PERLEDO ASD APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BINDA,ALBERTO,I,LC,PERLEDO,VIA PIETRO NAVA,APS,"VIA PIETRO NAVA,PERLEDO,LC,I",45.85641746243125,9.387039847407847
CIRCOLO ARCI CAMPITELLO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BEGOTTI,MARCO,I,MN,MARCARIA,VIA M. CHIZZOLINI,APS,"VIA M. CHIZZOLINI,MARCARIA,MN,I",45.0875164468726,10.603266547765529
CIRCOLO ARCI CAMPOVOLO DI DOSOLO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FLISI,MARCO,I,MN,DOSOLO,VIA BOSCHI VECCHI,APS,"VIA BOSCHI VECCHI,DOSOLO,MN,I",44.96345780415377,10.644313014696204
CIRCOLO ARCI CASBAH APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LUI,MATTIA,I,MN,PEGOGNAGA,VIA ROMA,APS,"VIA ROMA,PEGOGNAGA,MN,I",44.997001957726134,10.859661835636071
CIRCOLO ARCI CESARE TERRANOVA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FABBRI,FERRUCCIO AMBROGIO,I,MI,CESANO BOSCONE,VIA KULISCIOFF,APS,"VIA KULISCIOFF,CESANO BOSCONE,MI,I",45.432195520719915,9.084582234933377
CIRCOLO ARCI CINCIANA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERNARDI,CHRISTIAN,I,MN,MANTOVA,VIA GAETANO SILVIO SPILLER,APS,"VIA GAETANO SILVIO SPILLER,MANTOVA,MN,I",45.14568874595605,10.761112237343156
CIRCOLO ARCI CUSAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LODI,MARIO,I,MI,CUSAGO,VIA UGO FOSCOLO,APS,"VIA UGO FOSCOLO,CUSAGO,MI,I",45.45221437716415,9.036760686238265
CIRCOLO ARCI DALLO' APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ALBERTI,ALESSANDRO,I,MN,CASTIGLIONE DELLE STIVIERE,PIAZZA UGO DALLO',APS,"PIAZZA UGO DALLO',CASTIGLIONE DELLE STIVIERE,MN,I",45.3919127287312,10.490570523208204
CIRCOLO ARCI DI CARAVAGGIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GATTI,MIRKO,I,BG,CARAVAGGIO,VIA FERMO STELLA,APS,"VIA FERMO STELLA,CARAVAGGIO,BG,I",45.49691008219694,9.64119783597663
CIRCOLO ARCI EDU.POP. LECCO APS ASD,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRUNO,SERAFINA MARIA,I,LC,LECCO,VIA CESARE CANTU',APS,"VIA CESARE CANTU',LECCO,LC,I",45.8507208598078,9.38714458841844
CIRCOLO ARCI FARFALLINO APS ASD,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SACCO,SERAFINO,I,LC,LECCO,VIA CRISTOFORO COLOMBO,APS,"VIA CRISTOFORO COLOMBO,LECCO,LC,I",45.8610649858722,9.397572814628154
CIRCOLO ARCI F.LLI CERVI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,NARDI,SERGIO,I,MN,BOZZOLO,VIA BONOLDI,APS,"VIA BONOLDI,BOZZOLO,MN,I",45.10414093861783,10.479449078718506
CIRCOLO ARCI FUZZY APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ARALDI,ANTONIA,I,MN,MANTOVA,VIA ARIOSTO,APS,"VIA ARIOSTO,MANTOVA,MN,I",45.144501430079536,10.800743850503466
CIRCOLO ARCI GALLIANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GHISELLINI,EGIDIO,I,MN,RONCOFERRARO,VIA VENETO,APS,"VIA VENETO,RONCOFERRARO,MN,I",45.085319191172054,10.956476173425111
CIRCOLO ARCI GIULIO TREVISANI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RICCI,VALERIE,I,MI,MILANO,VIA APPENNINI,APS,"VIA APPENNINI,MILANO,MI,I",45.50538640528717,9.10092577900744
CIRCOLO ARCI GOODWIN APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CICOGNA,GIULIANO,I,MN,SERRAVALLE A PO,PIAZZA TRENTO E TRIESTE,APS,"PIAZZA TRENTO E TRIESTE,SERRAVALLE A PO,MN,I",45.05774552648363,11.058202012575608
CIRCOLO ARCI GRUMELLO DEL MONTE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELOTTI,PALMIRO,I,BG,GRUMELLO DEL MONTE,VIA ROMA,APS,"VIA ROMA,GRUMELLO DEL MONTE,BG,I",45.63573809771098,9.88250357035426
CIRCOLO ARCI GUERNICA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DI PASQUALE,SALVATORE,I,MI,BRESSO,VIA SAN GIACOMO,APS,"VIA SAN GIACOMO,BRESSO,MI,I",45.53661838112925,9.185932903061875
CIRCOLO ARCI IL BALZO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAIMI,PAOLO,I,MI,MILANO,VIA CERIANI,APS,"VIA CERIANI,MILANO,MI,I",45.46189600278731,9.089277107208064
CIRCOLO ARCI IL QUARTIERE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LOMBARDI,PATRIZIA,I,MI,MILANO,VIALE LOMBARDIA,APS,"VIALE LOMBARDIA,MILANO,MI,I",45.48559175785362,9.223581593117032
CIRCOLO ARCI LAGHI MARGONARA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MONDINI,TIBERIO,I,MN,GONZAGA,STRADA RONCHI,APS,"STRADA RONCHI,GONZAGA,MN,I",44.954907554437604,10.7786333739715
CIRCOLO ARCI LA QUERCIA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LEVA,MANUEL ALESSANDRO,I,MI,CINISELLO BALSAMO,VIA CADORNA,APS,"VIA CADORNA,CINISELLO BALSAMO,MI,I",45.55243511097512,9.219873098538342
CIRCOLO ARCI L'ARCA DEL BEBE' APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ACERBIS,ELENA,I,BG,SERIATE,VIA DEL FABBRO,APS,"VIA DEL FABBRO,SERIATE,BG,I",45.68633996598711,9.722581596304524
CIRCOLO ARCI LIBERTA' APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PEREGO,FRANCO,I,LC,IMBERSAGO,VIA MATTEI,APS,"VIA MATTEI,IMBERSAGO,LC,I",45.705499038833494,9.44652747870106
CIRCOLO ARCI L'IMPEGNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LIEBMAN,ANNA,I,MI,MILANO,VIA BODONI,APS,"VIA BODONI,MILANO,MI,I",45.49314383937173,9.15021779821856
CIRCOLO ARCI MORANDI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LONGERI,GIUSEPPINA,I,MI,SAN GIULIANO MILANESE,VIA TURATI,APS,"VIA TURATI,SAN GIULIANO MILANESE,MI,I",45.39686151071026,9.285575039712722
CIRCOLO ARCI MUSICA INSIEME APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MOIOLI,MARCO,I,MN,MANTOVA,VIA VIVENZA,APS,"VIA VIVENZA,MANTOVA,MN,I",45.8453333,11.4067407
CIRCOLO ARCI NUOVA TORRETTA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,OLDRINI,GIORGIO ALBERTO GIUSEPPE,I,MI,SESTO SAN GIOVANNI,VIA SAINT DENIS,APS,"VIA SAINT DENIS,SESTO SAN GIOVANNI,MI,I",45.538245666600496,9.2227294829594
CIRCOLO ARCI O.G. VIANI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COMINOTTI,ACHILLE,I,MN,OSTIGLIA,VIA TRABUCCHI,APS,"VIA TRABUCCHI,OSTIGLIA,MN,I",45.07000785056599,11.138055605369338
CIRCOLO ARCI OSIO SOTTO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZUCCHETTI,ROBERTO,I,BG,OSIO SOTTO,VIA CAVOUR,APS,"VIA CAVOUR,OSIO SOTTO,BG,I",45.61777005093767,9.594644492524386
CIRCOLO ARCI PAPACQUA CLUB APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COAZZOLI,VELLEDA,I,MN,MANTOVA,VIA DAINO,APS,"VIA DAINO,MANTOVA,MN,I",45.15228639859447,10.798356941182597
CIRCOLO ARCI PRESEZZO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COLOMBI,ALDO,I,BG,PRESEZZO,VIA ROMA,APS,"VIA ROMA,PRESEZZO,BG,I",45.69346969459279,9.567297876635843
CIRCOLO ARCI PRIMO MAGGIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZUCCA,JESSICA,I,MN,SAN BENEDETTO PO,VIA TRENTO,APS,"VIA TRENTO,SAN BENEDETTO PO,MN,I",45.04352548035094,10.92819988132096
CIRCOLO ARCI PROMESSI SPOSI - APS ASD,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POMARI,SERGIO,I,LC,MANDELLO DEL LARIO,VIA MONTELLO,APS,"VIA MONTELLO,MANDELLO DEL LARIO,LC,I",45.922305326464645,9.321480497332958
CIRCOLO ARCI PROMESSI SPOSI APS ASD,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CRIMELLA,GIORGIO,I,LC,LECCO,VIALE LOMBARDIA,APS,"VIALE LOMBARDIA,LECCO,LC,I",45.85356633555052,9.4156642935122
CIRCOLO ARCI PROMESSI SPOSI APS ASD,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CRIMELLA,GIORGIO,I,LC,LECCO,VIALE LOMBARDIA,APS,"VIALE LOMBARDIA,LECCO,LC,I",45.85356633555052,9.4156642935122
CIRCOLO ARCI PUNTO E LINEA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PAPADIA,GIUSEPPE,I,MI,OPERA,VIA DANTE,APS,"VIA DANTE,OPERA,MI,I",45.37753653642671,9.211111991020914
CIRCOLO ARCI PURPLE PLANET APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POLIMENI,ROSALIA,I,BS,BRESCIA,VIA FOLONARI,APS,"VIA FOLONARI,BRESCIA,BS,I",45.53429287604651,10.209219292657993
CIRCOLO ARCI SALARDI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GENESINI,MARIA,I,MN,MANTOVA,VITTORINO DA FELTRE,APS,"VITTORINO DA FELTRE,MANTOVA,MN,I",45.483365,12.203658
CIRCOLO ARCI SERMIDE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MENANI,FRANCESCO,I,MN,SERMIDE E FELONICA,FRATELLI BANDIERA,APS,"FRATELLI BANDIERA,SERMIDE E FELONICA,MN,I",45.000263148183,11.297993506294778
CIRCOLO ARCI SPAZIOGIOCO PAVIA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DANZI,ISABELLA,I,PV,PAVIA,CORSO MAZZINI,APS,"CORSO MAZZINI,PAVIA,PV,I",45.18502396472032,9.157205261182751
CIRCOLO ARCI TAMBOURINE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SOLERA,STEFANO,I,MB,SEREGNO,VIA CARLO TENCA,APS,"VIA CARLO TENCA,SEREGNO,MB,I",45.65557299678008,9.210223508630989
CIRCOLO ARCI TE BRUNETTI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,STEFANELLI,FAUSTO,I,MN,MANTOVA,VIA VISI,APS,"VIA VISI,MANTOVA,MN,I",45.14569001542344,10.789177064920773
CIRCOLO ARCI TERRA E LIBERTA' APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LILLIA,DANILO,I,CO,CANTU',VIA ETTORE BRAMBILLA,APS,"VIA ETTORE BRAMBILLA,CANTU',CO,I",45.742931445901995,9.13259916305912
CIRCOLO ARCI TOM APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ADAMI,MARTINA,I,MN,MANTOVA,PIAZZA TOM BENETOLLO,APS,"PIAZZA TOM BENETOLLO,MANTOVA,MN,I",45.14332330122533,10.762196282217934
